# Japanese readings, used by JapaneseSearchKeys to match a kanji label against a
# query typed in kana or in latin script. Generated, do not edit by hand; see
# tools/generate-japanese-readings.py.
#
# Derived from JMdict by the Electronic Dictionary Research and Development
# Group, used under the Creative Commons Attribution-ShareAlike 4.0 license.
# https://www.edrdg.org/edrdg/licence.html
#
# One entry per line, tab separated: the written form followed by its readings.
# Sorted by the written form so that the file can be binary searched in place.
ドノ辺	ドノヘン
ドラム缶	ドラムカン
ドラ息子	ドラムスコ
ドル買イ	ドルカイ
ドレ位	ドレクライ	ドレグライ
ナントモ言エナイ	ナントモイエナイ
ニギリ寿司	ニギリズシ
ニモ拘ラズ	ニモカカワラズ
ニモ関ワラズ	ニモカカワラズ
ニヨッテ異ナル	ニヨッテコトナル
ニ伴イ	ニトモナイ
ニ依ル	ニヨル
ニ加エテ	ニクワエテ
ニ取ッテ	ニトッテ
ニ向ケテ	ニムケテ
ニ対シテ	ニタイシテ
ニ対スル	ニタイスル
ニ当タッテハ	ニアタッテハ
ニ従ッテ	ニシタガッテ
ニ渡ッテ	ニワタッテ
ニ関シテ	ニカンシテ
ニ限ッテ	ニカギッテ
ニ際シテ	ニサイシテ
ノーベル賞	ノーベルショウ
ノ度ニ	ノタビニ	ノタンビニ
ハミ出ス	ハミダス
バイ菌	バイキン
バス停	バステイ
バベルノ塔	バベルノトウ
バラ撒ク	バラマク
バラ色	バライロ
バンタム級	バンタムキュウ
パン屋	パンヤ
パン粉	パンコ
ヒックリ返ル	ヒックリカエル	ヒックリガエル
ヒトリ歩キ	ヒトリアルキ
ヒトリ言	ヒトリゴト
ヒト時	ヒトトキ	イットキ
ヒナ祭リ	ヒナマツリ
ビショ濡レ	ビショヌレ
ビー玉	ビーダマ
フライ級	フライキュウ
フランス料理	フランスリョウリ
フランス語	フランスゴ
ブチ切レ	ブチギレ	ブチキレ
ブッキラ棒	ブッキラボウ
ブラウン管	ブラウンカン
ブラ下ガル	ブラサガル
ブラ下ゲル	ブラサゲル
プロフィール画像	プロフィールガゾウ
プロ野球	プロヤキュウ
ベニヤ板	ベニヤイタ
ペン先	ペンサキ
ホウガ良イ	ホウガイイ	ホウガヨイ
ホウレン草	ホウレンソウ
ホンノ少シ	ホンノスコシ
マナ板	マナイタ
マルクス主義	マルクスシュギ
マン延	マンエン
ミジン切リ	ミジンギリ
ミドル級	ミドルキュウ
メキシコ湾	メキシコワン
メグリ合ウ	メグリアウ
メモ帳	メモチョウ
モウ一度	モウイチド	モイチド
モツ鍋	モツナベ
ヤッテ来ル	ヤッテクル
ヤッ付ケル	ヤッツケル
ヤムヲ得ナイ	ヤムヲエナイ
ヤリ切レナイ	ヤリキレナイ
ヤリ取リ	ヤリトリ
ヤリ方	ヤリカタ
ヤリ直シ	ヤリナオシ
ヤリ直ス	ヤリナオス
ヤリ繰リ	ヤリクリ
ヤリ過ゴス	ヤリスゴス
ヤル気	ヤルキ
ユウチョ銀行	ユウチョギンコウ
ユダヤ教	ユダヤキョウ
ヨウナ気ガスル	ヨウナキガスル
ヨクアルゴ質問	ヨクアルゴシツモン
ヨクアル質問	ヨクアルシツモン
ヨソ行キ	ヨソユキ	ヨソイキ
ヨソ見	ヨソミ
ラテン語	ラテンゴ
リーグ戦	リーグセン
レギュラー出演	レギュラーシュツエン
ロケット弾	ロケットダン
ローマ字	ローマジ
ワガ国	ワガクニ
ヵ月	カゲツ
ヶ国	カコク
ヶ月	カゲツ
一々	イチイチ
一ツ	ヒトツ
一ツ一ツ	ヒトツヒトツ
一ニ	イツニ
一ヶ月	イッカゲツ
一一	イチイチ
一一九番	ヒャクジュウキュウバン
一丁	イッチョウ
一万	イチマン
一世	イッセイ
一両	イチリョウ
一丸	イチガン
一事	イチジ
一二	イチニ
一人	ヒトリ	イチニン
一人ッ子	ヒトリッコ
一人デ	ヒトリデ
一人一人	ヒトリヒトリ	ヒトリビトリ
一人前	イチニンマエ	ヒトリマエ
一人娘	ヒトリムスメ
一人子	ヒトリゴ
一人息子	ヒトリムスコ
一人旅	ヒトリタビ
一人暮ラシ	ヒトリグラシ
一人歩キ	ヒトリアルキ
一人物	イチジンブツ
一人相撲	ヒトリズモウ
一人称	イチニンショウ
一介	イッカイ
一代	イチダイ
一代記	イチダイキ
一件	イッケン
一任	イチニン
一休ミ	ヒトヤスミ
一位	イチイ
一体	イッタイ
一例	イチレイ
一個	イッコ
一個人	イッコジン	イチコジン
一倍	イチバイ
一億	イチオク
一元	イチゲン
一元化	イチゲンカ
一先ズ	ヒトマズ
一党	イットウ
一円	イチエン
一冊	イッサツ
一刀	イットウ	ヒトカタナ
一刀両断	イットウリョウダン
一分	イチブ
一切	イッサイ
一列	イチレツ
一刻	イッコク
一助	イチジョ
一匹	イッピキ
一千	イッセン
一卵性双生児	イチランセイソウセイジ
一口	ヒトクチ
一句	イック
一台	イチダイ
一同	イチドウ
一向	イッコウ
一向ニ	イッコウニ
一周	イッシュウ
一周年	イッシュウネン
一周忌	イッシュウキ
一味	イチミ
一味違ウ	ヒトアジチガウ
一命	イチメイ
一品	イッピン	ヒトシナ
一員	イチイン
一問	イチモン
一喜一憂	イッキイチユウ
一喝	イッカツ
一回	イッカイ
一回リ	ヒトマワリ
一回転	イッカイテン
一因	イチイン
一団	イチダン
一国	イッコク
一堂	イチドウ
一報	イッポウ
一塁	イチルイ
一塁手	イチルイシュ
一声	イッセイ	ヒトコエ
一変	イッペン
一夜	イチヤ	ヒトヤ
一大	イチダイ
一大事	イチダイジ
一女	イチジョ
一子	イッシ
一字	イチジ
一存	イチゾン
一安心	ヒトアンシン
一定	イッテイ
一室	イッシツ
一家	イッカ	イッケ
一家言	イッカゲン	イッカゴト
一審	イッシン
一寸	イッスン
一対	イッツイ
一対一	イチタイイチ	イッタイイチ
一尉	イチイ
一局	イッキョク
一層	イッソウ
一山	ヒトヤマ
一巡	イチジュン
一工夫	ヒトクフウ
一巻	イッカン	ヒトマキ
一席	イッセキ
一帯	イッタイ
一幕	ヒトマク
一年	イチネン	ヒトトシ
一年中	イチネンジュウ	イチネンヂュウ
一年生	イチネンセイ
一年間	イチネンカン
一度	イチド	ヒトタビ
一度ニ	イチドニ
一座	イチザ
一式	イッシキ
一律	イチリツ
一徹	イッテツ
一心	イッシン
一心ニ	イッシンニ
一心不乱	イッシンフラン
一心同体	イッシンドウタイ
一応	イチオウ
一念	イチネン
一念発起	イチネンホッキ
一息	ヒトイキ
一戦	イッセン
一戸	イッコ
一戸建テ	イッコダテ
一所	イッショ	ヒトトコロ
一手	イッテ
一打	イチダ
一抹	イチマツ
一括	イッカツ
一括払イ	イッカツバライ
一挙	イッキョ
一挙ニ	イッキョニ
一挙手一投足	イッキョシュイットウソク
一掃	イッソウ
一揆	イッキ
一握リ	ヒトニギリ
一撃	イチゲキ
一攫千金	イッカクセンキン
一敗	イッパイ
一文	イチモン
一文字	イチモンジ
一斉	イッセイ
一斉ニ	イッセイニ
一新	イッシン
一方	イッポウ
一方的	イッポウテキ
一方通行	イッポウツウコウ
一族	イチゾク
一日	イチニチ	イチジツ
一日中	イチニチジュウ	イチニチヂュウ
一旦	イッタン
一昔	ヒトムカシ
一昨	イッサク
一昨年	オトトシ	イッサクネン
一昨日	オトトイ	オトツイ
一時	ヒトトキ	イットキ
一時ニ	イチドキニ	イチジニ
一時期	イチジキ
一時的	イチジテキ
一時金	イチジキン
一時間	イチジカン
一晩	ヒトバン
一晩中	ヒトバンジュウ
一曲	イッキョク
一書	イッショ
一月	イチガツ	ヒトツキ
一服	イップク
一望	イチボウ
一朝一夕	イッチョウイッセキ
一期	イチゴ
一木	イチボク
一本	イッポン
一本立チ	イッポンダチ
一本釣リ	イッポンヅリ	イッポンズリ
一条	イチジョウ
一杯	イッパイ
一枚	イチマイ
一枚岩	イチマイイワ
一枚看板	イチマイカンバン
一校	イッコウ
一案	イチアン
一概ニ	イチガイニ
一様	イチヨウ
一樹	イチジュ	イッキ
一次産品	イチジサンピン
一次産業	イチジサンギョウ
一歩	イッポ
一段	イチダン
一段落	イチダンラク	ヒトダンラク
一気	イッキ
一気ニ	イッキニ
一泊	イッパク
一派	イッパ
一流	イチリュウ
一浪	イチロウ
一滴	イッテキ	ヒトシズク
一点	イッテン
一点張リ	イッテンバリ
一片	イッペン
一物	イチモツ
一理	イチリ
一環	イッカン
一生	イッショウ
一生懸命	イッショウケンメイ
一男	イチナン
一画	イッカク
一番	イチバン
一番上	イチバンウエ
一番乗リ	イチバンノリ
一番手	イチバンテ
一発	イッパツ
一皮	ヒトカワ
一目	ヒトメ
一目散ニ	イチモクサンニ
一直線	イッチョクセン
一着	イッチャク
一睡	イッスイ
一瞬	イッシュン
一矢	イッシ
一石	イッセキ
一石二鳥	イッセキニチョウ
一礼	イチレイ
一票	イッピョウ
一種	イッシュ
一端	イッタン
一笑	イッショウ
一筆	イッピツ	ヒトフデ
一等	イットウ
一筋	ヒトスジ
一筋縄	ヒトスジナワ
一策	イッサク
一節	イッセツ
一級	イッキュウ
一緒	イッショ
一緒ニ	イッショニ
一線	イッセン
一群	イチグン
一義	イチギ
一翼	イチヨク
一考	イッコウ
一脈	イチミャク
一致	イッチ
一興	イッキョウ
一般	イッパン
一般ニ	イッパンニ
一般人	イッパンジン
一般的	イッパンテキ
一色	イッショク
一芸	イチゲイ
一苦労	ヒトクロウ
一葉	イチヨウ	ヒトハ
一行	イチギョウ	イッコウ
一見	イッケン
一覧	イチラン
一覧表	イチランヒョウ
一角	イッカク
一触即発	イッショクソクハツ
一言	ヒトコト	イチゲン
一語	イチゴ
一説	イッセツ
一読	イチドク
一貫	イッカン
一足	イッソク	ヒトアシ
一足飛ビ	イッソクトビ
一路	イチロ
一蹴	イッシュウ
一躍	イチヤク
一身	イッシン
一身上	イッシンジョウ
一軍	イチグン
一軒	イッケン
一軒家	イッケンヤ
一転	イッテン
一輪	イチリン
